               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99     100     101     102     103     104     105     106     107     108     109     110     111     112     113     114     115     116     117     118     119     120     121     122     123     124     125     126     127
       0   15878   -1304    -304    1234    1050    -573    -155     508    -245    -538    -788    -961    -649    -325    -474    -256     -55     116     169     259     348     208     218     338     211     215      74     -89    -204    -263    -118    -109     -74      46    -101     -74      30      20      29       4      30     -61     -62    -124    -152     -71     -37     -79     -27      76      12      51     111      41      69      91      32      53      56      25      10     -57     -30      19       2      29      -2       0       8      -9      31      10      -5     -27     -30      -6       3     -23     -35      -2     -18       5      17      -5      29      -5     -16      -3      -9      14      -1      -5       9      -6       2       0     -11      18      29       9       4      -2      -2       3      -1      -5       5      -8       3       5      -5      14      -5      -9      -3     -18       3      13       2       6     -19     -18       3      -1       4       2      -6      -4
       1     886     974    -812    -301    -291     404     178    -274     560      59     551     182      46    -112     -16     146     -32      65       0    -267     -87      42      93     202     134     134      99      66     149      65     148      52      61      24      86      71      17      97      -8     123      60      -9     101     -17     -49      -7    -105     -60      19    -108     -35     -66     -86     -51     -40      -3      19      -5     -54     -21     -14       5      18     -48      42       5      23      55      -7      24      -5      -1      40      41      25      -1     -12     -10       3      -8      -8      -7      -5      16       0      -5       8      -7     -11     -11     -22      -3     -11     -11       0      -8      -6     -18     -12       8      15      24       7      -1       7      -2       0       1      -2       2       0      -3       1       1       7      15       4       0       6      -4       2       8      -9      -7     -10       0       9       1
       2     -25     389    -748    1003    -714    1259      36    -159     238     129    -248     143     311    -321     219     147    -278       5     111    -110      33     169    -351    -135    -114    -318     -86     -57     -83      12    -159    -115      23    -142     -10      24    -104     -28     -18     -79       0      33      -2      56      72      35      92      64      53      18      38      73       3      10      56     -30     -36      56      34       6       2     -27      -1       0     -30     -22     -26     -23      10     -26      -5     -15     -37       3       5       2      17      34       2      22      20      -6       0     -24      -8       8      15      32       9      -4       7       4       1      16     -12     -11      12      -8     -16     -19     -26     -10       2      -7       6      -5      -7       5      -4       8       6      -1      -1      -1       2       6      -1      -6       2       0      14      15       0       9       5       0       7      -2
       3    -213    -218     966    -707     155     433    -848     383       0    -378     188     -11     135     278     -92       6     -12      62     -31      97      48     -36     101     -96     144     -21     162     230     -45     127      56     -14      31      23     -29      70      83       0      18     -27     -15     -17     -45      -4      16     -73       6     -43    -102      21     -94     -33      44     -36      26      -5     -34     -34     -22     -22       9      31      31      43     -16       7       7     -36       4      16      28      53      -2     -18     -18     -31     -19     -23      15      12       9      21      -5     -11     -14       1     -10      -7      10       8      19      -4     -15     -13     -13      21      21      32      32       3       4     -18      -9      14       0       7       1       0      11      -8     -17      -9      -1       8       3      -7      -1       0     -11       0      -9     -14       5       2      -3      -1     -12       5
       4    -311     262     265     293     -33     170     -69     157    -375     734     -53    -159     406    -359     330    -221     -82     149    -347     366    -149     -72     158    -156    -116      59    -122     -92      31    -150      34       3    -202      25      26    -144     168      21     -53     169    -126      -1      57     -43      82      32      24      28      37       0      21     -21      17      89     -56      54      52     -90      10     -15      -3      41     -24      -3      -2     -35      17      -1      -7      13     -42      -9      26       6      10      40     -14      11       6     -54      -7     -20      10      42     -17      16       4     -21       5      -6     -20      -8     -11      -3      21      10     -19     -25     -31      -9      12      -2       5       3       7      23      -8      -4     -13     -19      10      19      16       5      -8      -2       4      -3       3       8       1       4       4      -1       7      -2     -14       5
       5     -41     -82     632      62    -563    -185     439     679    -451     321    -480     272    -213     152     108     -36     271    -190     106      -8     -68     117      -5    -121      99    -117    -185      76       4     105     -82      28      14     -79      43     -67     -91      29     -38    -129      16     -28     -72      19     -23      50      36     -15     -27     -40       2      39     -39      40      37     -88      20      -3      18      90     -36      12     -20     -11      26     -14     -43      13      29     -19      42     -31     -57      -2     -62       0      31      -6      18      16      13      13     -27      -7       5     -16       8      22       6       8      16       1      27      33     -20       0      -6       6      28       3       4       0      -2      -8     -16      -8       7       6      -7       7       0      -9      -6     -17       0      11      -7       2       0      -9       1      -3      -9       3      -2       6      10      -6
       6     359    -255     319    -273    -180      14     490    -460     207    -176     -61     308    -430      99    -158     112     -32      94    -265    -110     -86    -158      35      -5      38      82      41    -121      -4     -67     -32      82       4      60       8      68      22      17     148      49      78      99      10      87      46     -75       0      -3     -27      34      15      40      -2     -42     -29       3     -11      -8     -17     -75      26     -25     -31     -32     -69      52      17      -6       6     -14     -20      19       0      21      46      -2      12      -2     -17      -8     -32      -5      -3      18      36      20     -23      -3     -27     -25      11      -8      -2     -16     -13       0      -5     -12      -4       2      -6       9       0       5      -5      -8       5       0      15      15      -5      -8      -1       5       6       0      -4       9       2      -2      -1       2       9      -1      -9      -3       2     -10
       7     438    -332    -208     281     -57     150     160    -388    -134     109     221     -80      82     161    -255      82       3     -61     225       5      78    -116     -48     105    -102     106    -115     -19    -105     -83      86    -130      38      23    -146      -6     -84    -132     -80     -81     -41      36     -22     -52     -80     -63      -8      41      20      81      61     -59      34     -41     -47      58     -33      66      76      34      11     -14      -1      75      16     -25      62     -35     -16      11     -74      15      23     -46      21      13     -32      28     -27     -12      36     -18      26       7     -34      27       5     -17      33      -7     -14      48       0      21      32     -18      13       6     -16      21      -1      -1      13     -26      -7       3     -18       5       3      -4      12      -2     -19      -1      -9      -5      11     -10       5       9     -14       0      -6     -11      10       7       8      16
       8     -55      42      10     -83     161    -139    -209     -82     321    -151     179     -86    -366     249    -164     153    -298     180     -76     -47     146    -190      84    -160      17      24      22     183     -47      10     -13     -33      -8      75     124       8      38      12      30      40      86     -49      80      51      30     112     -84      44      -9     -65      15     -47     -13       6      -6     -28      54       2     -44      -5     -66     -21     -19     -37      26     -15     -56      72     -22      -1      58     -63      19      24     -19       8     -20     -32      20      20     -28      23     -15     -14      -3     -43      11      -8     -23      33      -7     -16       7     -30      -8       8      -5      13     -12     -15      11       0       2      33       8       5      16     -18       1      -5     -15      24       9       4       6      -6       2       0     -13       9       8      -5      -2      -3       2      -3     -10       0
       9      60    -182      30     -74     244    -339      21     166      27    -317      58    -219     264       5    -105      11    -119      49      -8     -70     -39      49     -84      84     -88    -107      21     -55      28      64    -132      21       4    -146      15     -28     -56     136     -69       9     -21     -92      20     -49     -10      36      -9      12      18       0     -17      50      -2      13      61      -8     -24       6     -55      -4      47      24      56     -14      29      40     -33      -9     -22      -7       9      33      -3       3       0     -14      25       0      13      15      -8      22      10     -13      17      10     -18      28      18      20      17     -30     -16       3       5      16       5      -7      16      12     -17      -1     -34     -13       7     -13       9       5     -17       0      -5      -5      19      -6     -13       2      -6       5       2     -12       2       5       1      19       1     -16       6     -12
      10    -143     132    -133     -12     189    -346     181     165    -163    -217     201      89      21     -54    -172     227      65     -91       0     -49      87      -6     161       0      15      79     -78     -31     -27      63      76      87      48     -33     -15     -47      70     -43      20      24       7      49     -45     -49       2     -10      54       7     -41      43     -43     -55      23     -55      44       6     -48      21      -7       7     -11       2       2      15     -27      -5      16     -46      41       2     -18      33     -14     -12      10      -9       0       8     -41      -6       5      -7       8     -25      -5      -6     -15       8       1     -23      -7       5     -14      14      -6       0      17      -3      11      -7     -15       3      13      10      13       4       0      17       0       8       5     -20     -10      10      14      11       0      -6      -2      -2       4       7       0      -5     -15       1       8       3
      11    -229      55     168    -248      29     -83       2    -136      71     -79     -36     -27     -73    -193     276       3    -249      97     -27     -75     101      -4    -138      44      23       6      23      24     -34      84      -6     -35     -13     -11     103     -12     -10      39     -20      64      -9     -25      22      51      30      15      45      -8      15     -34     -25      49     -16      51      -1       5      89     -75      -3     -11     -28      37     -13       4       0     -20     -10      18     -13      21      21     -17      31       2     -26     -23     -36      12      52      19      24     -12     -27      45     -23      -1      31     -23       4       3      -3      27      14     -21       3      -4     -17      13     -27      -3      15      -5      14      -1     -26       6     -14     -16       9     -18       4      15     -18       5       6     -12       3       1      -9       9     -10      -5      13     -10      14      12     -17      -2
